ItemCode,ItemName,ManufacturerName,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,ItemPrice,UnitOfMeasurePrice,NormalizedName,מחלקה
4009900540551,מסטיק אורביט רפרשס ט,לא ידוע,מסטיק אורביט רפרשס ט,יח',1.0,יח',12.1,12.1,מסטיק אורביט רפרשס,לבדיקה ידנית
7290008464796,"היינקן שישייה 330 מ""",טמפו,היינקן cities 330 בקבוק ח,ליטרים,1.98,ליטר,34.9,17.6263,היינקן שישייה 330,לבדיקה ידנית
7290001567814,סלמי מעושן בסגנון אי,לא ידוע,סלמי מעושן בסגנון אי,גרמים,300.0,100 גרם,23.9,0.0797,סלמי מעושן בסגנון,לבדיקה ידנית
7290010237531,"פפסי בקבוק 500 מ""ל כ",טמפו,פפסי 500 בקבוק 24 יח',מיליליטרים,500.0,"100 מ""ל",3.8,0.0076,פפסי בקבוק 500,לבדיקה ידנית
7290010237548,פפסי מקס בקבוק 500 מ,טמפו,פפסי מקס 500 בקבוק 24 יח',מיליליטרים,500.0,"100 מ""ל",3.6,0.0072,פפסי מקס בקבוק 500,לבדיקה ידנית
7290010237562,"מירינדה בקבוק 500 מ""",טמפו,מירינדה 500 בקבוק 24 יח',מיליליטרים,500.0,"100 מ""ל",3.8,0.0076,מירינדה בקבוק 500,לבדיקה ידנית
7290010237586,גזוז בטעם לימון ליים,טמפו,דיאט סבן אפ 500 בקבוק 24,מיליליטרים,500.0,"100 מ""ל",3.8,0.0076,גזוז לימון ליים,לבדיקה ידנית
7290112190437,פופקורן קלאסי 65ג רמ,לא ידוע,פופקורן קלאסי 65ג רמ,גרמים,65.0,100 גרם,4.0,0.0615,פופקורן קלאסי,לבדיקה ידנית
4009900426121,מסטיק איירוויבז בקבו,לא ידוע,מסטיק איירוויבז בקבו,גרמים,64.0,100 גרם,10.7,0.1672,מסטיק איירוויבז בקבו,לבדיקה ידנית
7290109920870,הפי ג'ל לכביסה שחורה,לא ידוע,הפי ג'ל לכביסה שחורה,ליטרים,1.0,ליטר,15.1,15.1,הפי לכביסה שחורה,לבדיקה ידנית
7290016272819,צמר גפן 100 גר,לא ידוע,צמר גפן 100 גר,גרמים,100.0,100 גרם,5.2,0.052,צמר גפן 100,לבדיקה ידנית
4006508122134,מליטה נייר פילטר מספ,Melitta Kaffee GmbH,מליטה נייר פילטר מספר 40,יח',1.0,יח',10.7,10.7,מליטה נייר פילטר מספ,לבדיקה ידנית
7290113560055,פרודונטקס מי פה טיפו,לא ידוע,פרודונטקס מי פה טיפו,מיליליטרים,500.0,"100 מ""ל",22.9,0.0458,פרודונטקס טיפו,לבדיקה ידנית
7290018198148,תפוגן קריספי ציפס קל,לא ידוע,תפוגן קריספי ציפס קל,יח',1.25,יח',24.9,19.92,תפוגן קריספי ציפס,לבדיקה ידנית
7290108509816,גבינה בייבי מוצרלה 2,לא ידוע,גבינה בייבי מוצרלה 2,גרמים,200.0,100 גרם,16.9,0.0845,גבינה בייבי מוצרלה,לבדיקה ידנית
8410376042498,"גולון ויטלדיי ללת""ס",לא ידוע,"גולון ויטלדיי ללת""ס",גרמים,216.0,100 גרם,17.1,0.0792,גולון ויטלדיי ללת,לבדיקה ידנית
7290010237784,שנדי לימון ליים 330,טמפו,שנדי לימון ליים 330 בקבוק,ליטרים,1.98,ליטר,28.9,14.596,שנדי לימון ליים 330,לבדיקה ידנית
7290016601008,נוזל שמשות 4 לי,לא ידוע,נוזל שמשות 4 לי,ליטרים,4.0,ליטר,10.9,2.725,נוזל שמשות,לבדיקה ידנית
